goal_keeper,first_team,second_team
Davino Verhulst,8525,9987
Davino Verhulst,8525,9994
Davino Verhulst,8525,9997
Vladan Kujovic,8525,9989
Bartosz Kaniecki,8024,8030
Colin Coosemans,8342,8475
Olivier Werner,6351,9984
Olivier Werner,6351,9998
Wojciech Kaczmarek,2186,8025
Wojciech Kaczmarek,2186,8027
Wojciech Kaczmarek,2186,8033
Krzysztof Pilarz,8245,177361
Jakub Slowik,1957,8023
Gregorz Szamotulski,8245,10251
Michal Peskovic,1601,8031
Michal Peskovic,1601,8033
Simon Mignolet,8472,8650
Simon Mignolet,8472,9997
Mark Howard,8485,9800
Ben Foster,8658,8659
Ben Foster,8658,10260
Richard Kingson,8483,8528
Boaz Myhill,8659,8667
Mark Bunn,8655,9850
Mark Bunn,8655,10252
Craig Samson,9800,9927
"Swen Koenig,24",9956,10199
David Da Costa,10191,10243
Tom Starke,8226,9823
Tobias Sippel,8350,9788
Thomas Kessler,8152,8722
Michael Rensing,8722,9823
Kevin Trapp,8350,9810
Kevin Trapp,8350,9847
Roberto,9772,9906
Mario Felgueiras,7841,10238
Romain Salin,9809,10212
Marcelo Moretto,2033,8322
Eduardo Gottardi,9771,10214
Hugo Ventura,9765,9807
Julio Cesar,9772,9807
Ricardo Batista,2033,10238
Claudio Bravo,8560,8634
Gustavo Adolfo Munua,8581,9864
Leonardo Franco,8394,9906
Antonio Doblas,8394,9875
Ruben,9864,9865
Sergio Asenjo,9864,9906
Sergio Asenjo,9864,10205
Sergio Asenjo,9864,10281
Eduardo,10233,10264
Luca Castellazzi,8636,9882
Artur Boruc,8535,8678
Artur Boruc,8535,9925
Marco Amelia,8564,10233
Guillermo Ochoa,8576,9864
Stephan Andersen,4087,6433
Stephan Andersen,4087,8603
Guy-Roland N'Dy Assembe,8481,9747
Guy-Roland N'Dy Assembe,8481,9830
Guy-Roland N'Dy Assembe,8481,9873
Bertrand Laquait,4087,9986
Jeremie Janot,8689,9853
Paul Gallacher,8457,8649
Paul Gallacher,8457,9800
Brad Friedel,8586,10252
Ben Foster,8659,10260
Jason Brown,8485,8655
Shay Given,10252,10261
John Ruddy,9850,9927
Chris Smith,8457,9800
Doni,8650,8686
Galatto,7955,9864
Fabio Coltorti,7730,8696
Joao Barroca,9777,10215
Anthony Favre,7730,10243
Rob van Dijk,9908,10235
Pawel Kieszek,9803,10238
Yves De Winter,8526,9997
Yves De Winter,8526,10001
Przemyslaw Tyton,8640,9803
Przemyslaw Tyton,8640,10268
Przemyslaw Tyton,8640,10269
Thomas Kraft,8177,9823
Manuel Neuer,9823,10189
Lukasz Skorupski,8020,8534
Lukasz Skorupski,8020,8686
Tomasz Ptak,1957,8021
Norbert Witkowski,8020,8322
Radoslaw Cierzniak,2186,8245
Radoslaw Cierzniak,2186,9938
Radoslaw Cierzniak,2186,10265
Tom Muyters,10000,10218
Thomas Kaminski,1773,8635
Thomas Kaminski,1773,9993
Bojan Jorgacevic,8342,9991
Paulo Lopes,4064,7992
Paulo Lopes,4064,9772
Artur,9772,10264
Fabiano,2033,9773
Jan Oblak,9771,9772
Jan Oblak,9771,9906
Marcelo Boeck,9768,10212
Andres Fernandez,8371,9773
Francisco Casilla,8558,8633
Daniel Gimenez,8370,8603
Thibaut Courtois,9906,9987
Roberto Fernandez,7878,8371
Miguel Angel Moya,8305,8661
Miguel Angel Moya,8305,9906
Miguel Angel Moya,8305,10267
Julio Cesar,7878,8305
Julio Cesar,7878,9772
Julio Cesar,7878,9807
Juan Jesus Calatayud,8661,10278
Fabri,8603,9783
Fabri,8603,10281
Joel Robles,8370,8528
Joel Robles,8370,8668
Joel Robles,8370,9906
Enaut Zubikarai,8560,188163
Keylor Navas,8581,8633
Jean-Francois Gillet,9857,9976
Albano Benjamin Bizzarri,8543,10233
Samir Ujkani,6269,8540
Zeljko Brkic,8551,8600
Zeljko Brkic,8551,208931
Maarten Stekelenburg,8686,9879
Federico Agliardi,9857,9880
Neto,8535,9885
Christian Puggioni,8533,8690
Juan Pablo Carrizo,8530,8543
Juan Pablo Carrizo,8530,8636
Emiliano Viviano,8540,9857
Emiliano Viviano,8540,9882
Francesco Benussi,8540,9876
Francesco Benussi,8540,9888
Francesco Benussi,8540,208931
Gianluca Curci,8686,9857
Gianluca Curci,8686,9882
Marcel Herzog,9931,10190
Nicolas Douchez,9847,9851
Macedo Novaes,7794,9873
Mickael Landreau,7794,8639
Mickael Landreau,7794,9847
Michal Buchalik,8030,8242
Michal Buchalik,8030,10265
Dariusz Trela,8028,8030
Dariusz Trela,8028,8245
Dariusz Trela,8028,8569
Mariusz Pawelek,2183,8025
Mariusz Pawelek,2183,10265
Dusan Pernis,8023,9938
Filip Kurto,9803,10218
Boy Waterman,8640,10217
Marco Bizot,8674,9987
Eiji Kawashima,9985,9989
Vladan Kujovic,8342,8525
Vladan Kujovic,8342,9989
Logan Bailly,1773,9788
Logan Bailly,1773,9987
Matz Sels,9989,9991
Kristof van Hout,9987,10001
