id,long_name
10243,FC Zürich
10249,Montpellier Hérault SC
10251,Hibernian
10252,Aston Villa
10260,Manchester United
10261,Newcastle United
10264,SC Braga
10265,Wisła Kraków
10267,Valencia CF
10268,Elche CF
10269,VfB Stuttgart
10278,Hércules Club de Fútbol
10281,Real Valladolid
108893,AC Arles-Avignon
158085,FC Arouca
177361,Termalica Bruk-Bet Nieciecza
188163,Tondela
208931,Carpi
274581,Royal Excel Mouscron
